reward_mode,schedule,seed,first_success_episode,episodes_to_90pct_success,final_train_success_rate,eval_success_rate,eval_mean_return,eval_mean_steps,visited_states
shaped,exponential,8565,1,,0.02,0.0,-1607.8,500.0,18039
shaped,exponential,17944,2,,0.04,0.0,-1470.2,500.0,17838
shaped,exponential,81150,,,0.0,0.0,-1548.8,500.0,18818
shaped,linear,8565,6,,0.12,0.0,-1725.8,500.0,19428
shaped,linear,17944,13,,0.06,0.0,-1844.6,500.0,20687
shaped,linear,81150,9,,0.02,0.0,-1706.2,500.0,20282
sparse,exponential,8565,1,,0.02,0.0,-1445.2,500.0,16686
sparse,exponential,17944,2,,0.04,0.0,-1376.0,500.0,16900
sparse,exponential,81150,,,0.0,0.0,-1501.6,500.0,18667
sparse,linear,8565,6,,0.12,0.0,-1827.8,500.0,19293
sparse,linear,17944,13,,0.06,0.0,-1891.2,500.0,20578
sparse,linear,81150,9,,0.02,0.0,-1834.2,500.0,20258
