episode,step,r,c,has_key,energy,action,reward,next_r,next_c,next_has_key,next_energy,event,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
2500,0,1,1,0,60,3,-1.0,1,2,0,59,move,4.473046631373795,5.756058856920787,4.4682559140747475,-0.004790717299047564,4.47256755964389,0.1,0.95,0.01
2500,1,1,2,0,59,3,-1.0,1,3,0,58,move,5.756058856920787,7.106268345516939,5.750954928241091,-0.0051039286796958905,5.755548464052818,0.1,0.95,0.01
2500,2,1,3,0,58,1,-1.0,2,3,0,57,move,7.106268345516939,8.527068415445287,7.100714994673023,-0.0055533508439156165,7.105713010432547,0.1,0.95,0.01
2500,3,2,3,0,57,3,-1.0,2,4,0,56,move,8.527068415445287,10.022236155864453,8.52112434807123,-0.005944067374056061,8.526474008707881,0.1,0.95,0.01
2500,4,2,4,0,56,3,-1.0,2,5,0,55,move,10.022236155864453,11.595990884204232,10.01619133999402,-0.006044815870433595,10.02163167427741,0.1,0.95,0.01
2500,5,2,5,0,55,2,-1.0,2,4,0,54,move,11.595990884204232,13.252158470607258,11.589550547076895,-0.006440337127337159,11.595346850491499,0.1,0.95,0.01
2500,6,2,4,0,54,2,-1.0,2,3,0,53,move,13.252158470607258,14.995767750310657,13.245979362795124,-0.006179107812133822,13.251540559826044,0.1,0.95,0.01
2500,7,2,3,0,53,2,-1.0,2,2,0,52,move,14.995767750310657,16.831115160676255,14.989559402642442,-0.006208347668215097,14.995146915543835,0.1,0.95,0.01
2500,8,2,2,0,52,1,-1.0,2,1,0,51,move,16.831115160676255,18.76225710042985,16.824144245408355,-0.006970915267899613,16.830418069149466,0.1,0.95,0.01
2500,9,2,1,0,51,0,-1.0,1,1,0,50,move,18.76225710042985,20.79409873372691,18.754393797040564,-0.007863303389285647,18.76147077009092,0.1,0.95,0.01
2500,10,1,1,0,50,3,-1.0,1,2,0,49,move,20.79409873372691,22.932317818951425,20.785701928003853,-0.008396805723055678,20.793259053154603,0.1,0.95,0.01
2500,11,1,2,0,49,3,-1.0,1,3,0,48,move,22.932317818951425,25.182572954601657,22.923444306871573,-0.008873512079851764,22.93143046774344,0.1,0.95,0.01
2500,12,1,3,0,48,3,-1.0,1,4,0,47,move,25.182572954601657,27.550574407243943,25.173045686881743,-0.009527267719914079,25.181620227829665,0.1,0.95,0.01
2500,13,1,4,0,47,1,-1.0,2,4,0,46,move,27.550574407243943,30.042223100757393,27.540111945719524,-0.010462461524419098,27.5495281610915,0.1,0.95,0.01
2500,14,2,4,0,46,1,-1.0,3,4,0,45,move,30.042223100757393,32.663804534058016,30.030614307355115,-0.01160879340227794,30.041062221417164,0.1,0.95,0.01
2500,15,3,4,0,45,1,-1.0,4,4,0,44,move,32.663804534058016,35.42278870472317,32.65164926948701,-0.012155264571006796,32.662589007600914,0.1,0.95,0.01
2500,16,4,4,0,44,1,-1.0,5,4,0,43,move,35.42278870472317,38.32841216992349,35.411991561427314,-0.010797143295853573,35.42170899039358,0.1,0.95,0.01
2500,17,5,4,0,43,3,-1.0,5,5,0,42,move,38.32841216992349,41.386505858942925,38.31718056599578,-0.01123160392771183,38.327289009530716,0.1,0.95,0.01
2500,18,5,5,0,42,2,-1.0,6,5,0,41,move,41.386505858942925,44.60515379228744,41.37489610267306,-0.011609756269862714,41.38534488331594,0.1,0.95,0.01
