episode_idx,total_reward,steps,success,wall_hits,penalty_entries,door_attempts,key_pickup_step,goal_reached_step,termination_reason,epsilon_final,lambda
0,-200.0,100,False,25,0,0,,,energy_depleted,1.0,0.7
1,-232.0,100,False,23,9,0,61,,energy_depleted,0.995,0.7
2,-196.0,100,False,19,2,0,,,energy_depleted,0.990025,0.7
3,-280.0,100,False,40,2,0,,,energy_depleted,0.985074875,0.7
4,-168.0,100,False,17,0,0,,,energy_depleted,0.980149500625,0.7
5,-196.0,100,False,24,0,0,,,energy_depleted,0.975248753121875,0.7
6,-180.0,100,False,20,0,0,,,energy_depleted,0.9703725093562656,0.7
7,-152.0,100,False,13,0,0,,,energy_depleted,0.9655206468094842,0.7
8,-272.0,100,False,38,2,0,,,energy_depleted,0.9606930435754368,0.7
9,-236.0,100,False,24,4,0,,,energy_depleted,0.9558895783575596,0.7
10,-118.0,100,False,17,0,0,89,,energy_depleted,0.9511101304657719,0.7
11,-218.0,100,False,22,3,0,,,energy_depleted,0.946354579813443,0.7
12,-184.0,100,False,21,0,0,,,energy_depleted,0.9416228069143757,0.7
13,-196.0,100,False,24,0,0,,,energy_depleted,0.9369146928798039,0.7
14,-266.0,100,False,24,7,0,,,energy_depleted,0.9322301194154049,0.7
15,-256.0,100,False,39,0,0,,,energy_depleted,0.9275689688183278,0.7
16,-228.0,100,False,27,2,0,,,energy_depleted,0.9229311239742362,0.7
17,-184.0,100,False,21,0,0,,,energy_depleted,0.918316468354365,0.7
18,-172.0,100,False,18,0,0,,,energy_depleted,0.9137248860125932,0.7
19,-194.0,100,False,21,1,0,,,energy_depleted,0.9091562615825302,0.7
20,-200.0,100,False,25,0,0,,,energy_depleted,0.9046104802746175,0.7
21,-244.0,100,False,31,2,0,,,energy_depleted,0.9000874278732445,0.7
22,-200.0,100,False,15,4,0,,,energy_depleted,0.8955869907338783,0.7
23,-212.0,100,False,28,0,0,,,energy_depleted,0.8911090557802088,0.7
24,-192.0,100,False,18,2,0,,,energy_depleted,0.8866535105013078,0.7
25,-260.0,100,False,25,6,0,,,energy_depleted,0.8822202429488012,0.7
26,-240.0,100,False,20,6,0,,,energy_depleted,0.8778091417340572,0.7
27,-204.0,100,False,26,0,0,,,energy_depleted,0.873420096025387,0.7
28,-244.0,100,False,36,0,0,,,energy_depleted,0.86905299554526,0.7
29,-168.0,100,False,17,0,0,,,energy_depleted,0.8647077305675337,0.7
30,-236.0,100,False,34,0,0,,,energy_depleted,0.8603841919146961,0.7
31,-200.0,100,False,25,0,0,,,energy_depleted,0.8560822709551226,0.7
32,-216.0,100,False,29,0,0,,,energy_depleted,0.8518018596003469,0.7
33,-236.0,100,False,34,0,0,,,energy_depleted,0.8475428503023452,0.7
34,-164.0,100,False,16,0,0,,,energy_depleted,0.8433051360508335,0.7
35,-176.0,100,False,19,0,0,,,energy_depleted,0.8390886103705792,0.7
36,-154.0,100,False,11,1,0,,,energy_depleted,0.8348931673187264,0.7
37,-212.0,100,False,28,0,0,,,energy_depleted,0.8307187014821328,0.7
38,-192.0,100,False,23,0,0,,,energy_depleted,0.826565107974722,0.7
39,-224.0,100,False,31,0,0,,,energy_depleted,0.8224322824348484,0.7
40,-234.0,100,False,26,3,0,,,energy_depleted,0.8183201210226743,0.7
41,-200.0,100,False,25,0,0,,,energy_depleted,0.8142285204175609,0.7
42,-316.0,100,False,34,8,0,,,energy_depleted,0.810157377815473,0.7
43,-220.0,100,False,30,0,0,,,energy_depleted,0.8061065909263957,0.7
44,-176.0,100,False,19,0,0,,,energy_depleted,0.8020760579717637,0.7
45,-172.0,100,False,18,0,0,,,energy_depleted,0.7980656776819048,0.7
46,-160.0,100,False,15,0,0,,,energy_depleted,0.7940753492934953,0.7
47,-194.0,100,False,21,1,0,,,energy_depleted,0.7901049725470278,0.7
48,-154.0,100,False,11,1,0,,,energy_depleted,0.7861544476842928,0.7
49,-128.0,100,False,7,0,0,,,energy_depleted,0.7822236754458712,0.7
50,-164.0,100,False,16,0,0,,,energy_depleted,0.7783125570686419,0.7
51,-184.0,100,False,21,0,0,,,energy_depleted,0.7744209942832987,0.7
52,-216.0,100,False,29,0,0,,,energy_depleted,0.7705488893118821,0.7
53,-228.0,100,False,32,0,0,,,energy_depleted,0.7666961448653228,0.7
54,-326.0,100,False,44,5,0,,,energy_depleted,0.7628626641409961,0.7
55,-176.0,100,False,19,0,0,,,energy_depleted,0.7590483508202912,0.7
56,-156.0,100,False,14,0,0,,,energy_depleted,0.7552531090661897,0.7
57,-156.0,100,False,14,0,0,,,energy_depleted,0.7514768435208588,0.7
58,-156.0,100,False,14,0,0,,,energy_depleted,0.7477194593032545,0.7
59,-188.0,100,False,22,0,0,,,energy_depleted,0.7439808620067382,0.7
60,-230.0,100,False,25,3,0,,,energy_depleted,0.7402609576967045,0.7
61,-176.0,100,False,19,0,0,,,energy_depleted,0.736559652908221,0.7
62,-214.0,100,False,26,1,0,,,energy_depleted,0.7328768546436799,0.7
63,-208.0,100,False,27,0,0,,,energy_depleted,0.7292124703704614,0.7
64,-190.0,100,False,20,1,0,,,energy_depleted,0.7255664080186092,0.7
65,-250.0,100,False,25,5,0,,,energy_depleted,0.7219385759785161,0.7
66,-160.0,100,False,15,0,0,,,energy_depleted,0.7183288830986235,0.7
67,-216.0,100,False,29,0,0,,,energy_depleted,0.7147372386831304,0.7
68,-212.0,100,False,28,0,0,,,energy_depleted,0.7111635524897147,0.7
69,-224.0,100,False,21,4,0,,,energy_depleted,0.7076077347272661,0.7
70,-196.0,100,False,19,2,0,,,energy_depleted,0.7040696960536298,0.7
71,-254.0,100,False,26,5,0,,,energy_depleted,0.7005493475733616,0.7
72,-152.0,100,False,13,0,0,,,energy_depleted,0.6970466008354949,0.7
73,-208.0,100,False,17,4,0,,,energy_depleted,0.6935613678313174,0.7
74,-208.0,100,False,22,2,0,,,energy_depleted,0.6900935609921608,0.7
75,-152.0,100,False,13,0,0,,,energy_depleted,0.6866430931872,0.7
76,-182.0,100,False,13,3,0,,,energy_depleted,0.683209877721264,0.7
77,-178.0,100,False,17,1,0,,,energy_depleted,0.6797938283326577,0.7
78,-204.0,100,False,26,0,0,,,energy_depleted,0.6763948591909944,0.7
79,-194.0,100,False,16,3,0,,,energy_depleted,0.6730128848950394,0.7
80,-242.0,100,False,33,1,0,,,energy_depleted,0.6696478204705641,0.7
81,-148.0,100,False,12,0,0,,,energy_depleted,0.6662995813682113,0.7
82,-184.0,100,False,21,0,0,,,energy_depleted,0.6629680834613703,0.7
83,-294.0,100,False,36,5,0,,,energy_depleted,0.6596532430440635,0.7
84,-270.0,100,False,40,1,0,,,energy_depleted,0.6563549768288431,0.7
85,-146.0,100,False,9,1,0,,,energy_depleted,0.6530732019446989,0.7
86,-332.0,100,False,48,4,0,,,energy_depleted,0.6498078359349754,0.7
87,-164.0,100,False,16,0,0,,,energy_depleted,0.6465587967553006,0.7
88,-128.0,100,False,7,0,0,,,energy_depleted,0.6433260027715241,0.7
89,-188.0,100,False,17,2,0,,,energy_depleted,0.6401093727576664,0.7
90,-208.0,100,False,17,4,0,,,energy_depleted,0.6369088258938781,0.7
91,-204.0,100,False,21,2,0,,,energy_depleted,0.6337242817644086,0.7
92,-200.0,100,False,25,0,0,,,energy_depleted,0.6305556603555866,0.7
93,-164.0,100,False,16,0,0,,,energy_depleted,0.6274028820538087,0.7
94,-204.0,100,False,21,2,0,,,energy_depleted,0.6242658676435396,0.7
95,-200.0,100,False,25,0,0,,,energy_depleted,0.6211445383053219,0.7
96,-196.0,100,False,24,0,0,,,energy_depleted,0.6180388156137954,0.7
97,-296.0,100,False,49,0,0,,,energy_depleted,0.6149486215357264,0.7
98,-136.0,100,False,19,1,0,89,,energy_depleted,0.6118738784280477,0.7
99,-152.0,100,False,13,0,0,,,energy_depleted,0.6088145090359075,0.7
100,-192.0,100,False,23,0,0,,,energy_depleted,0.6057704364907279,0.7
101,-132.0,100,False,8,0,0,,,energy_depleted,0.6027415843082743,0.7
102,-204.0,100,False,26,0,0,,,energy_depleted,0.599727876386733,0.7
103,-172.0,100,False,18,0,0,,,energy_depleted,0.5967292370047993,0.7
104,-164.0,100,False,16,0,0,,,energy_depleted,0.5937455908197753,0.7
105,-136.0,100,False,19,1,0,69,,energy_depleted,0.5907768628656764,0.7
106,-256.0,100,False,29,4,0,,,energy_depleted,0.587822978551348,0.7
107,-200.0,100,False,25,0,0,,,energy_depleted,0.5848838636585912,0.7
108,-172.0,100,False,18,0,0,,,energy_depleted,0.5819594443402983,0.7
109,-178.0,100,False,17,1,0,,,energy_depleted,0.5790496471185969,0.7
110,-130.0,100,False,5,1,0,,,energy_depleted,0.5761543988830038,0.7
111,-176.0,100,False,19,0,0,,,energy_depleted,0.5732736268885888,0.7
112,-232.0,100,False,23,4,0,,,energy_depleted,0.5704072587541459,0.7
113,-152.0,100,False,13,0,0,,,energy_depleted,0.5675552224603752,0.7
114,-144.0,100,False,11,0,0,,,energy_depleted,0.5647174463480732,0.7
115,-132.0,100,False,8,0,0,,,energy_depleted,0.5618938591163328,0.7
116,-228.0,100,False,32,0,0,,,energy_depleted,0.5590843898207511,0.7
117,-158.0,100,False,12,1,0,,,energy_depleted,0.5562889678716475,0.7
118,-116.0,100,False,4,0,0,,,energy_depleted,0.5535075230322892,0.7
119,-176.0,100,False,19,0,0,,,energy_depleted,0.5507399854171278,0.7
120,-196.0,100,False,24,0,0,,,energy_depleted,0.5479862854900421,0.7
121,-170.0,100,False,10,3,0,,,energy_depleted,0.5452463540625919,0.7
122,-192.0,100,False,18,2,0,,,energy_depleted,0.542520122292279,0.7
123,-184.0,100,False,21,0,0,,,energy_depleted,0.5398075216808176,0.7
124,-136.0,100,False,9,0,0,,,energy_depleted,0.5371084840724134,0.7
125,-210.0,100,False,20,3,0,,,energy_depleted,0.5344229416520514,0.7
126,-266.0,100,False,24,7,0,,,energy_depleted,0.5317508269437912,0.7
127,-164.0,100,False,11,2,0,,,energy_depleted,0.5290920728090721,0.7
128,-224.0,100,False,31,0,0,,,energy_depleted,0.5264466124450268,0.7
129,-210.0,100,False,20,3,0,,,energy_depleted,0.5238143793828016,0.7
130,-148.0,100,False,12,0,0,,,energy_depleted,0.5211953074858876,0.7
131,-136.0,100,False,9,0,0,,,energy_depleted,0.5185893309484582,0.7
132,-204.0,100,False,26,0,0,,,energy_depleted,0.515996384293716,0.7
133,-132.0,100,False,8,0,0,,,energy_depleted,0.5134164023722474,0.7
134,-144.0,100,False,11,0,0,,,energy_depleted,0.5108493203603861,0.7
135,-140.0,100,False,10,0,0,,,energy_depleted,0.5082950737585842,0.7
136,-128.0,100,False,7,0,0,,,energy_depleted,0.5057535983897913,0.7
137,-214.0,100,False,26,1,0,,,energy_depleted,0.5032248303978423,0.7
138,-140.0,100,False,10,0,0,,,energy_depleted,0.5007087062458531,0.7
139,-160.0,100,False,15,0,0,,,energy_depleted,0.4982051627146238,0.7
140,-228.0,100,False,27,2,0,,,energy_depleted,0.4957141369010507,0.7
141,-254.0,100,False,36,1,0,,,energy_depleted,0.4932355662165454,0.7
142,-154.0,100,False,11,1,0,,,energy_depleted,0.4907693883854627,0.7
143,-162.0,100,False,13,1,0,,,energy_depleted,0.4883155414435354,0.7
144,-152.0,100,False,13,0,0,,,energy_depleted,0.4858739637363177,0.7
145,-132.0,100,False,18,1,0,85,,energy_depleted,0.4834445939176361,0.7
146,-154.0,100,False,11,1,0,,,energy_depleted,0.4810273709480479,0.7
147,-140.0,100,False,10,0,0,,,energy_depleted,0.4786222340933077,0.7
148,-178.0,100,False,22,4,0,89,,energy_depleted,0.47622912292284114,0.7
149,-120.0,100,False,5,0,0,,,energy_depleted,0.4738479773082269,0.7
150,-138.0,100,False,22,0,0,67,,energy_depleted,0.4714787374216858,0.7
151,-164.0,100,False,21,3,0,89,,energy_depleted,0.46912134373457737,0.7
152,-216.0,100,False,14,6,0,,,energy_depleted,0.46677573701590447,0.7
153,-184.0,100,False,21,0,0,,,energy_depleted,0.46444185833082496,0.7
154,-136.0,100,False,9,0,0,,,energy_depleted,0.46211964903917085,0.7
155,-232.0,100,False,28,2,0,,,energy_depleted,0.459809050793975,0.7
156,-136.0,100,False,9,0,0,,,energy_depleted,0.4575100055400051,0.7
157,-180.0,100,False,20,0,0,,,energy_depleted,0.45522245551230506,0.7
158,-176.0,100,False,19,0,0,,,energy_depleted,0.45294634323474353,0.7
159,-148.0,100,False,12,0,0,,,energy_depleted,0.45068161151856984,0.7
160,-210.0,100,False,30,4,0,47,,energy_depleted,0.44842820346097695,0.7
161,-160.0,100,False,15,0,0,,,energy_depleted,0.4461860624436721,0.7
162,-178.0,100,False,17,1,0,,,energy_depleted,0.4439551321314537,0.7
163,-128.0,100,False,17,1,0,75,,energy_depleted,0.4417353564707965,0.7
164,-148.0,100,False,12,0,0,,,energy_depleted,0.43952667968844245,0.7
165,-230.0,100,False,20,5,0,,,energy_depleted,0.43732904629000025,0.7
166,-156.0,100,False,14,0,0,,,energy_depleted,0.43514240105855023,0.7
167,-154.0,100,False,11,1,0,,,energy_depleted,0.4329666890532575,0.7
168,-172.0,100,False,18,5,0,85,,energy_depleted,0.4308018556079912,0.7
169,-212.0,100,False,28,0,0,,,energy_depleted,0.42864784632995123,0.7
170,-106.0,100,False,14,0,0,41,,energy_depleted,0.4265046070983015,0.7
171,-216.0,100,False,29,0,0,,,energy_depleted,0.42437208406280996,0.7
172,-154.0,100,False,11,1,0,,,energy_depleted,0.4222502236424959,0.7
173,-188.0,100,False,22,0,0,,,energy_depleted,0.42013897252428345,0.7
174,-176.0,100,False,19,0,0,,,energy_depleted,0.418038277661662,0.7
175,-178.0,100,False,32,0,0,40,,energy_depleted,0.4159480862733537,0.7
176,-154.0,100,False,26,0,0,26,,energy_depleted,0.41386834584198695,0.7
177,-172.0,100,False,18,0,0,,,energy_depleted,0.41179900411277703,0.7
178,-302.0,100,False,43,3,0,,,energy_depleted,0.40974000909221314,0.7
179,-172.0,100,False,13,2,0,,,energy_depleted,0.40769130904675205,0.7
180,-144.0,100,False,16,3,0,89,,energy_depleted,0.4056528525015183,0.7
181,-220.0,100,False,40,1,0,26,,energy_depleted,0.4036245882390107,0.7
182,-192.0,100,False,23,0,0,,,energy_depleted,0.40160646529781563,0.7
183,-172.0,100,False,28,1,0,26,,energy_depleted,0.3995984329713266,0.7
184,-164.0,100,False,16,0,0,,,energy_depleted,0.39760044080646995,0.7
185,-202.0,100,False,18,3,0,,,energy_depleted,0.39561243860243755,0.7
186,-128.0,100,False,7,0,0,,,energy_depleted,0.3936343764094254,0.7
187,-136.0,100,False,9,0,0,,,energy_depleted,0.39166620452737827,0.7
188,-162.0,100,False,13,1,0,,,energy_depleted,0.3897078735047414,0.7
189,-172.0,100,False,18,0,0,,,energy_depleted,0.38775933413721764,0.7
190,-124.0,100,False,6,0,0,,,energy_depleted,0.38582053746653155,0.7
191,-174.0,100,False,21,4,0,40,,energy_depleted,0.3838914347791989,0.7
192,-140.0,100,False,10,0,0,,,energy_depleted,0.38197197760530294,0.7
193,-118.0,100,False,17,0,0,28,,energy_depleted,0.3800621177172764,0.7
194,-226.0,100,False,19,5,0,,,energy_depleted,0.37816180712869,0.7
195,-128.0,100,False,7,0,0,,,energy_depleted,0.37627099809304654,0.7
196,-182.0,100,False,33,0,0,85,,energy_depleted,0.3743896431025813,0.7
197,-176.0,100,False,19,0,0,,,energy_depleted,0.37251769488706843,0.7
198,-154.0,100,False,21,2,0,35,,energy_depleted,0.37065510641263305,0.7
199,-124.0,100,False,6,0,0,,,energy_depleted,0.3688018308805699,0.7
200,-140.0,100,False,10,0,0,,,energy_depleted,0.36695782172616703,0.7
201,-210.0,100,False,25,6,0,68,,energy_depleted,0.3651230326175362,0.7
202,-148.0,100,False,12,0,0,,,energy_depleted,0.36329741745444855,0.7
203,-142.0,100,False,23,0,0,85,,energy_depleted,0.3614809303671763,0.7
204,-206.0,100,False,14,5,0,,,energy_depleted,0.3596735257153404,0.7
205,-200.0,100,False,30,3,0,40,,energy_depleted,0.35787515808676373,0.7
206,-270.0,100,False,30,5,0,,,energy_depleted,0.35608578229632987,0.7
207,-148.0,100,False,22,1,0,67,,energy_depleted,0.35430535338484825,0.7
208,-190.0,100,False,20,1,0,,,energy_depleted,0.352533826617924,0.7
209,-180.0,100,False,15,2,0,,,energy_depleted,0.3507711574848344,0.7
210,-164.0,100,False,21,3,0,67,,energy_depleted,0.3490173016974102,0.7
211,-152.0,100,False,23,1,0,80,,energy_depleted,0.34727221518892315,0.7
212,-138.0,100,False,7,1,0,,,energy_depleted,0.34553585411297855,0.7
213,-332.0,100,False,38,8,0,,,energy_depleted,0.34380817484241366,0.7
214,-152.0,100,False,13,0,0,,,energy_depleted,0.34208913396820156,0.7
215,-120.0,100,False,15,1,0,85,,energy_depleted,0.34037868829836054,0.7
216,-170.0,100,False,15,6,0,67,,energy_depleted,0.33867679485686875,0.7
217,-218.0,100,False,42,0,0,26,,energy_depleted,0.33698341088258443,0.7
218,-94.0,100,False,11,0,0,89,,energy_depleted,0.3352984938281715,0.7
219,-138.0,100,False,17,2,0,26,,energy_depleted,0.33362200135903064,0.7
220,-106.0,100,False,9,2,0,89,,energy_depleted,0.33195389135223546,0.7
221,-128.0,100,False,7,0,0,,,energy_depleted,0.3302941218954743,0.7
222,-116.0,100,False,4,0,0,,,energy_depleted,0.3286426512859969,0.7
223,-172.0,100,False,18,0,0,,,energy_depleted,0.32699943802956694,0.7
224,-170.0,100,False,20,4,0,26,,energy_depleted,0.3253644408394191,0.7
225,-180.0,100,False,15,2,0,,,energy_depleted,0.323737618635222,0.7
226,-208.0,100,False,27,5,0,68,,energy_depleted,0.3221189305420459,0.7
227,-184.0,100,False,31,1,0,28,,energy_depleted,0.32050833588933564,0.7
228,-248.0,100,False,37,0,0,,,energy_depleted,0.31890579420988896,0.7
229,-196.0,100,False,24,0,0,,,energy_depleted,0.3173112652388395,0.7
230,-156.0,100,False,14,0,0,,,energy_depleted,0.3157247089126453,0.7
231,-246.0,100,False,29,8,0,28,,energy_depleted,0.3141460853680821,0.7
232,-214.0,100,False,16,5,0,,,energy_depleted,0.31257535494124167,0.7
233,-174.0,100,False,21,4,0,85,,energy_depleted,0.3110124781665355,0.7
234,-178.0,100,False,17,1,0,,,energy_depleted,0.3094574157757028,0.7
235,-186.0,100,False,29,2,0,28,,energy_depleted,0.30791012869682427,0.7
236,-164.0,100,False,16,0,0,,,energy_depleted,0.30637057805334017,0.7
237,-146.0,100,False,9,1,0,,,energy_depleted,0.3048387251630735,0.7
238,-136.0,100,False,9,0,0,,,energy_depleted,0.30331453153725807,0.7
239,-96.0,100,False,9,1,0,28,,energy_depleted,0.3017979588795718,0.7
240,-180.0,100,False,20,5,0,67,,energy_depleted,0.30028896908517394,0.7
241,-144.0,100,False,11,0,0,,,energy_depleted,0.2987875242397481,0.7
242,-136.0,100,False,9,0,0,,,energy_depleted,0.2972935866185493,0.7
243,-150.0,100,False,10,1,0,,,energy_depleted,0.29580711868545656,0.7
244,-104.0,100,False,11,1,0,85,,energy_depleted,0.2943280830920293,0.7
245,-180.0,100,False,20,0,0,,,energy_depleted,0.29285644267656913,0.7
246,-170.0,100,False,15,1,0,,,energy_depleted,0.2913921604631863,0.7
247,-128.0,100,False,7,0,0,,,energy_depleted,0.2899351996608704,0.7
248,-132.0,100,False,8,0,0,,,energy_depleted,0.288485523662566,0.7
249,-132.0,100,False,18,1,0,96,,energy_depleted,0.2870430960442532,0.7
250,-172.0,100,False,18,0,0,,,energy_depleted,0.2856078805640319,0.7
251,-188.0,100,False,32,1,0,28,,energy_depleted,0.28417984116121175,0.7
252,-122.0,100,False,8,4,0,98,,energy_depleted,0.2827589419554057,0.7
253,-160.0,100,False,15,0,0,,,energy_depleted,0.28134514724562865,0.7
254,-128.0,100,False,12,3,0,28,,energy_depleted,0.2799384215094005,0.7
255,-200.0,100,False,25,0,0,,,energy_depleted,0.27853872940185354,0.7
256,-140.0,100,False,10,0,0,,,energy_depleted,0.27714603575484426,0.7
257,-160.0,100,False,15,5,0,28,,energy_depleted,0.27576030557607,0.7
258,-168.0,100,False,17,5,0,40,,energy_depleted,0.2743815040481897,0.7
259,-212.0,100,False,23,7,0,28,,energy_depleted,0.2730095965279487,0.7
260,-142.0,100,False,8,1,0,,,energy_depleted,0.271644548545309,0.7
261,-132.0,100,False,8,0,0,,,energy_depleted,0.27028632580258244,0.7
262,-208.0,100,False,32,3,0,26,,energy_depleted,0.2689348941735695,0.7
263,-132.0,100,False,8,0,0,,,energy_depleted,0.2675902197027017,0.7
264,-182.0,100,False,18,1,0,,,energy_depleted,0.26625226860418816,0.7
265,-156.0,100,False,14,0,0,,,energy_depleted,0.26492100726116724,0.7
266,-118.0,100,False,12,2,0,28,,energy_depleted,0.26359640222486136,0.7
267,-144.0,100,False,11,0,0,,,energy_depleted,0.2622784202137371,0.7
268,-90.0,100,False,10,0,0,85,,energy_depleted,0.26096702811266836,0.7
269,-146.0,100,False,24,0,0,40,,energy_depleted,0.259662192972105,0.7
270,-128.0,100,False,17,1,0,26,,energy_depleted,0.2583638820072445,0.7
271,-78.0,100,False,7,0,0,89,,energy_depleted,0.2570720625972083,0.7
272,-220.0,100,False,40,1,0,35,,energy_depleted,0.25578670228422223,0.7
273,-120.0,100,False,15,1,0,89,,energy_depleted,0.2545077687728011,0.7
274,-138.0,100,False,17,2,0,89,,energy_depleted,0.25323522992893716,0.7
275,-120.0,100,False,5,0,0,,,energy_depleted,0.25196905377929246,0.7
276,-230.0,100,False,30,6,0,35,,energy_depleted,0.25070920851039596,0.7
277,-208.0,100,False,32,3,0,65,,energy_depleted,0.249455662467844,0.7
278,-94.0,100,False,6,2,0,67,,energy_depleted,0.24820838415550478,0.7
279,-192.0,100,False,13,4,0,,,energy_depleted,0.24696734223472724,0.7
280,-124.0,100,False,16,1,0,98,,energy_depleted,0.2457325055235536,0.7
281,-222.0,100,False,28,6,0,26,,energy_depleted,0.24450384299593586,0.7
282,-204.0,100,False,11,6,0,,,energy_depleted,0.24328132378095618,0.7
283,-198.0,100,False,32,2,0,28,,energy_depleted,0.2420649171620514,0.7
284,-82.0,100,False,8,0,0,96,,energy_depleted,0.24085459257624112,0.7
285,-220.0,100,False,35,3,0,26,,energy_depleted,0.23965031961335992,0.7
286,-188.0,100,False,22,0,0,,,energy_depleted,0.23845206801529312,0.7
287,-188.0,100,False,17,2,0,,,energy_depleted,0.23725980767521665,0.7
288,-176.0,100,False,19,0,0,,,energy_depleted,0.23607350863684057,0.7
289,-222.0,100,False,28,6,0,26,,energy_depleted,0.23489314109365636,0.7
290,-140.0,100,False,10,0,0,,,energy_depleted,0.23371867538818808,0.7
291,-124.0,100,False,16,1,0,80,,energy_depleted,0.23255008201124713,0.7
292,-152.0,100,False,13,0,0,,,energy_depleted,0.2313873316011909,0.7
293,-154.0,100,False,21,2,0,26,,energy_depleted,0.23023039494318495,0.7
294,-152.0,100,False,13,0,0,,,energy_depleted,0.22907924296846902,0.7
295,-264.0,100,False,41,0,0,,,energy_depleted,0.22793384675362668,0.7
296,-172.0,100,False,23,3,0,29,,energy_depleted,0.22679417751985856,0.7
297,-152.0,100,False,13,0,0,,,energy_depleted,0.22566020663225925,0.7
298,-124.0,100,False,6,0,0,,,energy_depleted,0.22453190559909794,0.7
299,-134.0,100,False,11,4,0,68,,energy_depleted,0.22340924607110246,0.7
300,-132.0,100,False,8,0,0,,,energy_depleted,0.22229219984074694,0.7
301,-196.0,100,False,24,5,0,40,,energy_depleted,0.2211807388415432,0.7
