reward_mode,lambda,seed,first_success_episode,episodes_to_90pct_success,final_train_success_rate,eval_success_rate,eval_mean_return,eval_mean_steps,visited_states,late_return_std
shaped,0.0,8565,1,,0.02,0.0,-1616.2,500.0,18036,226.40003627429007
shaped,0.0,17944,2,,0.04,0.0,-1490.2,500.0,17832,291.1604923272554
shaped,0.0,81150,,,0.0,0.0,-1591.0,500.0,18945,235.59631755451878
shaped,0.3,8565,1,,0.02,0.0,-1396.8,500.0,16762,228.56201748595444
shaped,0.3,17944,2,,0.04,0.0,-1345.4,500.0,17408,292.03425954372153
shaped,0.3,81150,,,0.0,0.0,-1460.0,500.0,18990,207.8491165485189
shaped,0.7,8565,1,,0.02,0.0,-1474.4,500.0,16627,248.44781439167414
shaped,0.7,17944,2,,0.04,0.0,-1432.6,500.0,16839,291.6248079472144
shaped,0.7,81150,,,0.0,0.0,-1512.6,500.0,18937,219.83199075714566
shaped,0.9,8565,1,,0.02,0.0,-1467.8,500.0,16572,240.31879266715646
shaped,0.9,17944,2,,0.04,0.0,-1396.0,500.0,17054,280.81911222751506
shaped,0.9,81150,,,0.0,0.0,-1577.0,500.0,18944,208.77320775724493
sparse,0.0,8565,1,,0.02,0.0,-1490.2,500.0,16577,161.16798813660236
sparse,0.0,17944,2,,0.04,0.0,-1380.0,500.0,16898,189.97890830300085
sparse,0.0,81150,,,0.0,0.0,-1490.4,500.0,18667,119.3207442149101
sparse,0.3,8565,1,,0.02,0.0,-1432.2,500.0,16567,164.15938718209202
sparse,0.3,17944,2,,0.04,0.0,-1404.2,500.0,16901,189.4859361535837
sparse,0.3,81150,,,0.0,0.0,-1509.2,500.0,18652,118.00976908713955
sparse,0.7,8565,1,,0.02,0.0,-1456.8,500.0,16692,159.3765666589665
sparse,0.7,17944,2,,0.04,0.0,-1450.6,500.0,17166,189.27609463426703
sparse,0.7,81150,,,0.0,0.0,-1548.0,500.0,18896,120.87990072795394
sparse,0.9,8565,1,,0.02,0.0,-1461.8,500.0,16767,157.67311121430947
sparse,0.9,17944,2,,0.04,0.0,-1438.0,500.0,17079,187.75469528083713
sparse,0.9,81150,,,0.0,0.0,-1559.0,500.0,18980,120.11490498684998
