episode,step,r,c,has_key,energy,action,E
4900,0,1,1,0,60,3,0.855
4900,1,1,1,0,60,3,0.7310249999999999
4900,1,1,2,0,59,3,0.855
4900,2,1,1,0,60,3,0.6250263749999999
4900,2,1,2,0,59,3,0.7310249999999999
4900,2,1,3,0,58,2,0.855
4900,3,1,1,0,60,3,0.5343975506249999
4900,3,1,2,0,59,3,0.6250263749999999
4900,3,1,3,0,58,2,0.7310249999999999
4900,3,1,2,0,57,1,0.855
4900,4,1,1,0,60,3,0.45690990578437496
4900,4,1,2,0,59,3,0.5343975506249999
4900,4,1,3,0,58,2,0.6250263749999999
4900,4,1,2,0,57,1,0.7310249999999999
4900,4,2,2,0,56,3,0.855
4900,5,1,1,0,60,3,0.3906579694456406
4900,5,1,2,0,59,3,0.45690990578437496
4900,5,1,3,0,58,2,0.5343975506249999
4900,5,1,2,0,57,1,0.6250263749999999
4900,5,2,2,0,56,3,0.7310249999999999
4900,5,2,3,0,55,1,0.855
4900,6,1,1,0,60,3,0.3340125638760227
4900,6,1,2,0,59,3,0.3906579694456406
4900,6,1,3,0,58,2,0.45690990578437496
4900,6,1,2,0,57,1,0.5343975506249999
4900,6,2,2,0,56,3,0.6250263749999999
4900,6,2,3,0,55,1,0.7310249999999999
4900,6,3,3,0,54,2,0.855
4900,7,1,1,0,60,3,0.28558074211399936
4900,7,1,2,0,59,3,0.3340125638760227
4900,7,1,3,0,58,2,0.3906579694456406
4900,7,1,2,0,57,1,0.45690990578437496
4900,7,2,2,0,56,3,0.5343975506249999
4900,7,2,3,0,55,1,0.6250263749999999
4900,7,3,3,0,54,2,0.7310249999999999
4900,7,3,2,0,53,0,0.855
4900,8,1,1,0,60,3,0.24417153450746945
4900,8,1,2,0,59,3,0.28558074211399936
4900,8,1,3,0,58,2,0.3340125638760227
4900,8,1,2,0,57,1,0.3906579694456406
4900,8,2,2,0,56,3,0.45690990578437496
4900,8,2,3,0,55,1,0.5343975506249999
4900,8,3,3,0,54,2,0.6250263749999999
4900,8,3,2,0,53,0,0.7310249999999999
4900,8,2,2,0,52,3,0.855
4900,9,1,1,0,60,3,0.20876666200388638
4900,9,1,2,0,59,3,0.24417153450746945
4900,9,1,3,0,58,2,0.28558074211399936
4900,9,1,2,0,57,1,0.3340125638760227
4900,9,2,2,0,56,3,0.3906579694456406
4900,9,2,3,0,55,1,0.45690990578437496
4900,9,3,3,0,54,2,0.5343975506249999
4900,9,3,2,0,53,0,0.6250263749999999
4900,9,2,2,0,52,3,0.7310249999999999
4900,9,1,2,0,51,3,0.855
4900,10,1,1,0,60,3,0.17849549601332285
4900,10,1,2,0,59,3,0.20876666200388638
4900,10,1,3,0,58,2,0.24417153450746945
4900,10,1,2,0,57,1,0.28558074211399936
4900,10,2,2,0,56,3,0.3340125638760227
4900,10,2,3,0,55,1,0.3906579694456406
4900,10,3,3,0,54,2,0.45690990578437496
4900,10,3,2,0,53,0,0.5343975506249999
4900,10,2,2,0,52,3,0.6250263749999999
4900,10,1,2,0,51,3,0.7310249999999999
4900,10,1,3,0,50,3,0.855
4900,11,1,1,0,60,3,0.15261364909139102
4900,11,1,2,0,59,3,0.17849549601332285
4900,11,1,3,0,58,2,0.20876666200388638
4900,11,1,2,0,57,1,0.24417153450746945
4900,11,2,2,0,56,3,0.28558074211399936
4900,11,2,3,0,55,1,0.3340125638760227
4900,11,3,3,0,54,2,0.3906579694456406
4900,11,3,2,0,53,0,0.45690990578437496
4900,11,2,2,0,52,3,0.5343975506249999
4900,11,1,2,0,51,3,0.6250263749999999
4900,11,1,3,0,50,3,0.7310249999999999
4900,11,1,4,0,49,1,0.855
4900,12,1,1,0,60,3,0.13048466997313932
4900,12,1,2,0,59,3,0.15261364909139102
4900,12,1,3,0,58,2,0.17849549601332285
4900,12,1,2,0,57,1,0.20876666200388638
4900,12,2,2,0,56,3,0.24417153450746945
4900,12,2,3,0,55,1,0.28558074211399936
4900,12,3,3,0,54,2,0.3340125638760227
4900,12,3,2,0,53,0,0.3906579694456406
4900,12,2,2,0,52,3,0.45690990578437496
4900,12,1,2,0,51,3,0.5343975506249999
4900,12,1,3,0,50,3,0.6250263749999999
4900,12,1,4,0,49,1,0.7310249999999999
4900,12,2,4,0,48,3,0.855
4900,13,1,1,0,60,3,0.11156439282703412
4900,13,1,2,0,59,3,0.13048466997313932
4900,13,1,3,0,58,2,0.15261364909139102
4900,13,1,2,0,57,1,0.17849549601332285
4900,13,2,2,0,56,3,0.20876666200388638
4900,13,2,3,0,55,1,0.24417153450746945
4900,13,3,3,0,54,2,0.28558074211399936
4900,13,3,2,0,53,0,0.3340125638760227
4900,13,2,2,0,52,3,0.3906579694456406
4900,13,1,2,0,51,3,0.45690990578437496
4900,13,1,3,0,50,3,0.5343975506249999
4900,13,1,4,0,49,1,0.6250263749999999
4900,13,2,4,0,48,3,0.7310249999999999
4900,13,2,5,0,47,0,0.855
4900,14,1,1,0,60,3,0.09538755586711417
4900,14,1,2,0,59,3,0.11156439282703412
4900,14,1,3,0,58,2,0.13048466997313932
4900,14,1,2,0,57,1,0.15261364909139102
4900,14,2,2,0,56,3,0.17849549601332285
4900,14,2,3,0,55,1,0.20876666200388638
4900,14,3,3,0,54,2,0.24417153450746945
4900,14,3,2,0,53,0,0.28558074211399936
4900,14,2,2,0,52,3,0.3340125638760227
4900,14,1,2,0,51,3,0.3906579694456406
4900,14,1,3,0,50,3,0.45690990578437496
4900,14,1,4,0,49,1,0.5343975506249999
4900,14,2,4,0,48,3,0.6250263749999999
4900,14,2,5,0,47,0,0.7310249999999999
4900,14,2,5,0,46,1,0.855
4900,15,1,1,0,60,3,0.08155636026638262
4900,15,1,2,0,59,3,0.09538755586711417
4900,15,1,3,0,58,2,0.11156439282703412
4900,15,1,2,0,57,1,0.13048466997313932
4900,15,2,2,0,56,3,0.15261364909139102
4900,15,2,3,0,55,1,0.17849549601332285
4900,15,3,3,0,54,2,0.20876666200388638
4900,15,3,2,0,53,0,0.24417153450746945
4900,15,2,2,0,52,3,0.28558074211399936
4900,15,1,2,0,51,3,0.3340125638760227
4900,15,1,3,0,50,3,0.3906579694456406
4900,15,1,4,0,49,1,0.45690990578437496
4900,15,2,4,0,48,3,0.5343975506249999
4900,15,2,5,0,47,0,0.6250263749999999
4900,15,2,5,0,46,1,0.7310249999999999
4900,15,3,5,0,45,1,0.855
4900,16,1,1,0,60,3,0.06973068802775714
4900,16,1,2,0,59,3,0.08155636026638262
4900,16,1,3,0,58,2,0.09538755586711417
4900,16,1,2,0,57,1,0.11156439282703412
4900,16,2,2,0,56,3,0.13048466997313932
4900,16,2,3,0,55,1,0.15261364909139102
4900,16,3,3,0,54,2,0.17849549601332285
4900,16,3,2,0,53,0,0.20876666200388638
4900,16,2,2,0,52,3,0.24417153450746945
4900,16,1,2,0,51,3,0.28558074211399936
4900,16,1,3,0,50,3,0.3340125638760227
4900,16,1,4,0,49,1,0.3906579694456406
4900,16,2,4,0,48,3,0.45690990578437496
4900,16,2,5,0,47,0,0.5343975506249999
4900,16,2,5,0,46,1,0.6250263749999999
4900,16,3,5,0,45,1,0.7310249999999999
4900,16,4,5,0,44,1,0.855
4900,17,1,1,0,60,3,0.059619738263732354
4900,17,1,2,0,59,3,0.06973068802775714
4900,17,1,3,0,58,2,0.08155636026638262
4900,17,1,2,0,57,1,0.09538755586711417
4900,17,2,2,0,56,3,0.11156439282703412
4900,17,2,3,0,55,1,0.13048466997313932
4900,17,3,3,0,54,2,0.15261364909139102
4900,17,3,2,0,53,0,0.17849549601332285
4900,17,2,2,0,52,3,0.20876666200388638
4900,17,1,2,0,51,3,0.24417153450746945
4900,17,1,3,0,50,3,0.28558074211399936
4900,17,1,4,0,49,1,0.3340125638760227
4900,17,2,4,0,48,3,0.3906579694456406
4900,17,2,5,0,47,0,0.45690990578437496
4900,17,2,5,0,46,1,0.5343975506249999
4900,17,3,5,0,45,1,0.6250263749999999
4900,17,4,5,0,44,1,0.7310249999999999
4900,17,5,5,0,43,1,0.855
4900,18,1,1,0,60,3,0.05097487621549116
4900,18,1,2,0,59,3,0.059619738263732354
4900,18,1,3,0,58,2,0.06973068802775714
4900,18,1,2,0,57,1,0.08155636026638262
4900,18,2,2,0,56,3,0.09538755586711417
4900,18,2,3,0,55,1,0.11156439282703412
4900,18,3,3,0,54,2,0.13048466997313932
4900,18,3,2,0,53,0,0.15261364909139102
4900,18,2,2,0,52,3,0.17849549601332285
4900,18,1,2,0,51,3,0.20876666200388638
4900,18,1,3,0,50,3,0.24417153450746945
4900,18,1,4,0,49,1,0.28558074211399936
4900,18,2,4,0,48,3,0.3340125638760227
4900,18,2,5,0,47,0,0.3906579694456406
4900,18,2,5,0,46,1,0.45690990578437496
4900,18,3,5,0,45,1,0.5343975506249999
4900,18,4,5,0,44,1,0.6250263749999999
4900,18,5,5,0,43,1,0.7310249999999999
4900,18,6,5,0,42,0,0.855
4900,19,1,1,0,60,3,0.043583519164244945
4900,19,1,2,0,59,3,0.05097487621549116
4900,19,1,3,0,58,2,0.059619738263732354
4900,19,1,2,0,57,1,0.06973068802775714
4900,19,2,2,0,56,3,0.08155636026638262
4900,19,2,3,0,55,1,0.09538755586711417
4900,19,3,3,0,54,2,0.11156439282703412
4900,19,3,2,0,53,0,0.13048466997313932
4900,19,2,2,0,52,3,0.15261364909139102
4900,19,1,2,0,51,3,0.17849549601332285
4900,19,1,3,0,50,3,0.20876666200388638
4900,19,1,4,0,49,1,0.24417153450746945
4900,19,2,4,0,48,3,0.28558074211399936
4900,19,2,5,0,47,0,0.3340125638760227
4900,19,2,5,0,46,1,0.3906579694456406
4900,19,3,5,0,45,1,0.45690990578437496
4900,19,4,5,0,44,1,0.5343975506249999
4900,19,5,5,0,43,1,0.6250263749999999
4900,19,6,5,0,42,0,0.7310249999999999
4900,19,6,6,1,41,3,0.855
4900,20,1,1,0,60,3,0.03726390888542943
4900,20,1,2,0,59,3,0.043583519164244945
4900,20,1,3,0,58,2,0.05097487621549116
4900,20,1,2,0,57,1,0.059619738263732354
4900,20,2,2,0,56,3,0.06973068802775714
4900,20,2,3,0,55,1,0.08155636026638262
4900,20,3,3,0,54,2,0.09538755586711417
4900,20,3,2,0,53,0,0.11156439282703412
4900,20,2,2,0,52,3,0.13048466997313932
4900,20,1,2,0,51,3,0.15261364909139102
4900,20,1,3,0,50,3,0.17849549601332285
4900,20,1,4,0,49,1,0.20876666200388638
4900,20,2,4,0,48,3,0.24417153450746945
4900,20,2,5,0,47,0,0.28558074211399936
4900,20,2,5,0,46,1,0.3340125638760227
4900,20,3,5,0,45,1,0.3906579694456406
4900,20,4,5,0,44,1,0.45690990578437496
4900,20,5,5,0,43,1,0.5343975506249999
4900,20,6,5,0,42,0,0.6250263749999999
4900,20,6,6,1,41,3,0.7310249999999999
4900,20,6,7,1,40,3,0.855
4900,21,1,1,0,60,3,0.03186064209704216
4900,21,1,2,0,59,3,0.03726390888542943
4900,21,1,3,0,58,2,0.043583519164244945
4900,21,1,2,0,57,1,0.05097487621549116
4900,21,2,2,0,56,3,0.059619738263732354
4900,21,2,3,0,55,1,0.06973068802775714
4900,21,3,3,0,54,2,0.08155636026638262
4900,21,3,2,0,53,0,0.09538755586711417
4900,21,2,2,0,52,3,0.11156439282703412
4900,21,1,2,0,51,3,0.13048466997313932
4900,21,1,3,0,50,3,0.15261364909139102
4900,21,1,4,0,49,1,0.17849549601332285
4900,21,2,4,0,48,3,0.20876666200388638
4900,21,2,5,0,47,0,0.24417153450746945
4900,21,2,5,0,46,1,0.28558074211399936
4900,21,3,5,0,45,1,0.3340125638760227
4900,21,4,5,0,44,1,0.3906579694456406
4900,21,5,5,0,43,1,0.45690990578437496
4900,21,6,5,0,42,0,0.5343975506249999
4900,21,6,6,1,41,3,0.6250263749999999
4900,21,6,7,1,40,3,0.7310249999999999
4900,21,6,8,1,39,3,0.855
4900,22,1,1,0,60,3,0.027240848992971047
4900,22,1,2,0,59,3,0.03186064209704216
4900,22,1,3,0,58,2,0.03726390888542943
4900,22,1,2,0,57,1,0.043583519164244945
4900,22,2,2,0,56,3,0.05097487621549116
4900,22,2,3,0,55,1,0.059619738263732354
4900,22,3,3,0,54,2,0.06973068802775714
4900,22,3,2,0,53,0,0.08155636026638262
4900,22,2,2,0,52,3,0.09538755586711417
4900,22,1,2,0,51,3,0.11156439282703412
4900,22,1,3,0,50,3,0.13048466997313932
4900,22,1,4,0,49,1,0.15261364909139102
4900,22,2,4,0,48,3,0.17849549601332285
4900,22,2,5,0,47,0,0.20876666200388638
4900,22,2,5,0,46,1,0.24417153450746945
4900,22,3,5,0,45,1,0.28558074211399936
4900,22,4,5,0,44,1,0.3340125638760227
4900,22,5,5,0,43,1,0.3906579694456406
4900,22,6,5,0,42,0,0.45690990578437496
4900,22,6,6,1,41,3,0.5343975506249999
4900,22,6,7,1,40,3,0.6250263749999999
4900,22,6,8,1,39,3,0.7310249999999999
4900,22,6,9,1,38,3,0.855
4900,23,1,1,0,60,3,0.023290925888990247
4900,23,1,2,0,59,3,0.027240848992971047
4900,23,1,3,0,58,2,0.03186064209704216
4900,23,1,2,0,57,1,0.03726390888542943
4900,23,2,2,0,56,3,0.043583519164244945
4900,23,2,3,0,55,1,0.05097487621549116
4900,23,3,3,0,54,2,0.059619738263732354
4900,23,3,2,0,53,0,0.06973068802775714
4900,23,2,2,0,52,3,0.08155636026638262
4900,23,1,2,0,51,3,0.09538755586711417
4900,23,1,3,0,50,3,0.11156439282703412
4900,23,1,4,0,49,1,0.13048466997313932
4900,23,2,4,0,48,3,0.15261364909139102
4900,23,2,5,0,47,0,0.17849549601332285
4900,23,2,5,0,46,1,0.20876666200388638
4900,23,3,5,0,45,1,0.24417153450746945
4900,23,4,5,0,44,1,0.28558074211399936
4900,23,5,5,0,43,1,0.3340125638760227
4900,23,6,5,0,42,0,0.3906579694456406
4900,23,6,6,1,41,3,0.45690990578437496
4900,23,6,7,1,40,3,0.5343975506249999
4900,23,6,8,1,39,3,0.6250263749999999
4900,23,6,9,1,38,3,0.7310249999999999
4900,23,6,10,1,37,1,0.855
4900,24,1,1,0,60,3,0.01991374163508666
4900,24,1,2,0,59,3,0.023290925888990247
4900,24,1,3,0,58,2,0.027240848992971047
4900,24,1,2,0,57,1,0.03186064209704216
4900,24,2,2,0,56,3,0.03726390888542943
4900,24,2,3,0,55,1,0.043583519164244945
4900,24,3,3,0,54,2,0.05097487621549116
4900,24,3,2,0,53,0,0.059619738263732354
4900,24,2,2,0,52,3,0.06973068802775714
4900,24,1,2,0,51,3,0.08155636026638262
4900,24,1,3,0,50,3,0.09538755586711417
4900,24,1,4,0,49,1,0.11156439282703412
4900,24,2,4,0,48,3,0.13048466997313932
4900,24,2,5,0,47,0,0.15261364909139102
4900,24,2,5,0,46,1,0.17849549601332285
4900,24,3,5,0,45,1,0.20876666200388638
4900,24,4,5,0,44,1,0.24417153450746945
4900,24,5,5,0,43,1,0.28558074211399936
4900,24,6,5,0,42,0,0.3340125638760227
4900,24,6,6,1,41,3,0.3906579694456406
4900,24,6,7,1,40,3,0.45690990578437496
4900,24,6,8,1,39,3,0.5343975506249999
4900,24,6,9,1,38,3,0.6250263749999999
4900,24,6,10,1,37,1,0.7310249999999999
4900,24,7,10,1,36,1,0.855
4900,25,1,1,0,60,3,0.01702624909799909
4900,25,1,2,0,59,3,0.01991374163508666
4900,25,1,3,0,58,2,0.023290925888990247
4900,25,1,2,0,57,1,0.027240848992971047
4900,25,2,2,0,56,3,0.03186064209704216
4900,25,2,3,0,55,1,0.03726390888542943
4900,25,3,3,0,54,2,0.043583519164244945
4900,25,3,2,0,53,0,0.05097487621549116
4900,25,2,2,0,52,3,0.059619738263732354
4900,25,1,2,0,51,3,0.06973068802775714
4900,25,1,3,0,50,3,0.08155636026638262
4900,25,1,4,0,49,1,0.09538755586711417
4900,25,2,4,0,48,3,0.11156439282703412
4900,25,2,5,0,47,0,0.13048466997313932
4900,25,2,5,0,46,1,0.15261364909139102
4900,25,3,5,0,45,1,0.17849549601332285
4900,25,4,5,0,44,1,0.20876666200388638
4900,25,5,5,0,43,1,0.24417153450746945
4900,25,6,5,0,42,0,0.28558074211399936
4900,25,6,6,1,41,3,0.3340125638760227
4900,25,6,7,1,40,3,0.3906579694456406
4900,25,6,8,1,39,3,0.45690990578437496
4900,25,6,9,1,38,3,0.5343975506249999
4900,25,6,10,1,37,1,0.6250263749999999
4900,25,7,10,1,36,1,0.7310249999999999
4900,25,7,11,1,35,3,0.855
4900,26,1,1,0,60,3,0.014557442978789224
4900,26,1,2,0,59,3,0.01702624909799909
4900,26,1,3,0,58,2,0.01991374163508666
4900,26,1,2,0,57,1,0.023290925888990247
4900,26,2,2,0,56,3,0.027240848992971047
4900,26,2,3,0,55,1,0.03186064209704216
4900,26,3,3,0,54,2,0.03726390888542943
4900,26,3,2,0,53,0,0.043583519164244945
4900,26,2,2,0,52,3,0.05097487621549116
4900,26,1,2,0,51,3,0.059619738263732354
4900,26,1,3,0,50,3,0.06973068802775714
4900,26,1,4,0,49,1,0.08155636026638262
4900,26,2,4,0,48,3,0.09538755586711417
4900,26,2,5,0,47,0,0.11156439282703412
4900,26,2,5,0,46,1,0.13048466997313932
4900,26,3,5,0,45,1,0.15261364909139102
4900,26,4,5,0,44,1,0.17849549601332285
4900,26,5,5,0,43,1,0.20876666200388638
4900,26,6,5,0,42,0,0.24417153450746945
4900,26,6,6,1,41,3,0.28558074211399936
4900,26,6,7,1,40,3,0.3340125638760227
4900,26,6,8,1,39,3,0.3906579694456406
4900,26,6,9,1,38,3,0.45690990578437496
4900,26,6,10,1,37,1,0.5343975506249999
4900,26,7,10,1,36,1,0.6250263749999999
4900,26,7,11,1,35,3,0.7310249999999999
4900,26,7,12,1,34,1,0.855
4900,27,1,1,0,60,3,0.012446613746864786
4900,27,1,2,0,59,3,0.014557442978789224
4900,27,1,3,0,58,2,0.01702624909799909
4900,27,1,2,0,57,1,0.01991374163508666
4900,27,2,2,0,56,3,0.023290925888990247
4900,27,2,3,0,55,1,0.027240848992971047
4900,27,3,3,0,54,2,0.03186064209704216
4900,27,3,2,0,53,0,0.03726390888542943
4900,27,2,2,0,52,3,0.043583519164244945
4900,27,1,2,0,51,3,0.05097487621549116
4900,27,1,3,0,50,3,0.059619738263732354
4900,27,1,4,0,49,1,0.06973068802775714
4900,27,2,4,0,48,3,0.08155636026638262
4900,27,2,5,0,47,0,0.09538755586711417
4900,27,2,5,0,46,1,0.11156439282703412
4900,27,3,5,0,45,1,0.13048466997313932
4900,27,4,5,0,44,1,0.15261364909139102
4900,27,5,5,0,43,1,0.17849549601332285
4900,27,6,5,0,42,0,0.20876666200388638
4900,27,6,6,1,41,3,0.24417153450746945
4900,27,6,7,1,40,3,0.28558074211399936
4900,27,6,8,1,39,3,0.3340125638760227
4900,27,6,9,1,38,3,0.3906579694456406
4900,27,6,10,1,37,1,0.45690990578437496
4900,27,7,10,1,36,1,0.5343975506249999
4900,27,7,11,1,35,3,0.6250263749999999
4900,27,7,12,1,34,1,0.7310249999999999
4900,27,8,12,1,33,3,0.855
4900,28,1,1,0,60,3,0.010641854753569392
4900,28,1,2,0,59,3,0.012446613746864786
4900,28,1,3,0,58,2,0.014557442978789224
4900,28,1,2,0,57,1,0.01702624909799909
4900,28,2,2,0,56,3,0.01991374163508666
4900,28,2,3,0,55,1,0.023290925888990247
4900,28,3,3,0,54,2,0.027240848992971047
4900,28,3,2,0,53,0,0.03186064209704216
4900,28,2,2,0,52,3,0.03726390888542943
4900,28,1,2,0,51,3,0.043583519164244945
4900,28,1,3,0,50,3,0.05097487621549116
4900,28,1,4,0,49,1,0.059619738263732354
4900,28,2,4,0,48,3,0.06973068802775714
4900,28,2,5,0,47,0,0.08155636026638262
4900,28,2,5,0,46,1,0.09538755586711417
4900,28,3,5,0,45,1,0.11156439282703412
4900,28,4,5,0,44,1,0.13048466997313932
4900,28,5,5,0,43,1,0.15261364909139102
4900,28,6,5,0,42,0,0.17849549601332285
4900,28,6,6,1,41,3,0.20876666200388638
4900,28,6,7,1,40,3,0.24417153450746945
4900,28,6,8,1,39,3,0.28558074211399936
4900,28,6,9,1,38,3,0.3340125638760227
4900,28,6,10,1,37,1,0.3906579694456406
4900,28,7,10,1,36,1,0.45690990578437496
4900,28,7,11,1,35,3,0.5343975506249999
4900,28,7,12,1,34,1,0.6250263749999999
4900,28,8,12,1,33,3,0.7310249999999999
4900,28,8,13,1,32,3,0.855
4900,29,1,1,0,60,3,0.00909878581430183
4900,29,1,2,0,59,3,0.010641854753569392
4900,29,1,3,0,58,2,0.012446613746864786
4900,29,1,2,0,57,1,0.014557442978789224
4900,29,2,2,0,56,3,0.01702624909799909
4900,29,2,3,0,55,1,0.01991374163508666
4900,29,3,3,0,54,2,0.023290925888990247
4900,29,3,2,0,53,0,0.027240848992971047
4900,29,2,2,0,52,3,0.03186064209704216
4900,29,1,2,0,51,3,0.03726390888542943
4900,29,1,3,0,50,3,0.043583519164244945
4900,29,1,4,0,49,1,0.05097487621549116
4900,29,2,4,0,48,3,0.059619738263732354
4900,29,2,5,0,47,0,0.06973068802775714
4900,29,2,5,0,46,1,0.08155636026638262
4900,29,3,5,0,45,1,0.09538755586711417
4900,29,4,5,0,44,1,0.11156439282703412
4900,29,5,5,0,43,1,0.13048466997313932
4900,29,6,5,0,42,0,0.15261364909139102
4900,29,6,6,1,41,3,0.17849549601332285
4900,29,6,7,1,40,3,0.20876666200388638
4900,29,6,8,1,39,3,0.24417153450746945
4900,29,6,9,1,38,3,0.28558074211399936
4900,29,6,10,1,37,1,0.3340125638760227
4900,29,7,10,1,36,1,0.3906579694456406
4900,29,7,11,1,35,3,0.45690990578437496
4900,29,7,12,1,34,1,0.5343975506249999
4900,29,8,12,1,33,3,0.6250263749999999
4900,29,8,13,1,32,3,0.7310249999999999
4900,29,8,14,1,31,2,0.855
4900,30,1,1,0,60,3,0.007779461871228065
4900,30,1,2,0,59,3,0.00909878581430183
4900,30,1,3,0,58,2,0.010641854753569392
4900,30,1,2,0,57,1,0.012446613746864786
4900,30,2,2,0,56,3,0.014557442978789224
4900,30,2,3,0,55,1,0.01702624909799909
4900,30,3,3,0,54,2,0.01991374163508666
4900,30,3,2,0,53,0,0.023290925888990247
4900,30,2,2,0,52,3,0.027240848992971047
4900,30,1,2,0,51,3,0.03186064209704216
4900,30,1,3,0,50,3,0.03726390888542943
4900,30,1,4,0,49,1,0.043583519164244945
4900,30,2,4,0,48,3,0.05097487621549116
4900,30,2,5,0,47,0,0.059619738263732354
4900,30,2,5,0,46,1,0.06973068802775714
4900,30,3,5,0,45,1,0.08155636026638262
4900,30,4,5,0,44,1,0.09538755586711417
4900,30,5,5,0,43,1,0.11156439282703412
4900,30,6,5,0,42,0,0.13048466997313932
4900,30,6,6,1,41,3,0.15261364909139102
4900,30,6,7,1,40,3,0.17849549601332285
4900,30,6,8,1,39,3,0.20876666200388638
4900,30,6,9,1,38,3,0.24417153450746945
4900,30,6,10,1,37,1,0.28558074211399936
4900,30,7,10,1,36,1,0.3340125638760227
4900,30,7,11,1,35,3,0.3906579694456406
4900,30,7,12,1,34,1,0.45690990578437496
4900,30,8,12,1,33,3,0.5343975506249999
4900,30,8,13,1,32,3,0.6250263749999999
4900,30,8,14,1,31,2,0.7310249999999999
4900,30,7,14,1,30,2,0.855
4900,31,1,1,0,60,3,0.006651439899899995
4900,31,1,2,0,59,3,0.007779461871228065
4900,31,1,3,0,58,2,0.00909878581430183
4900,31,1,2,0,57,1,0.010641854753569392
4900,31,2,2,0,56,3,0.012446613746864786
4900,31,2,3,0,55,1,0.014557442978789224
4900,31,3,3,0,54,2,0.01702624909799909
4900,31,3,2,0,53,0,0.01991374163508666
4900,31,2,2,0,52,3,0.023290925888990247
4900,31,1,2,0,51,3,0.027240848992971047
4900,31,1,3,0,50,3,0.03186064209704216
4900,31,1,4,0,49,1,0.03726390888542943
4900,31,2,4,0,48,3,0.043583519164244945
4900,31,2,5,0,47,0,0.05097487621549116
4900,31,2,5,0,46,1,0.059619738263732354
4900,31,3,5,0,45,1,0.06973068802775714
4900,31,4,5,0,44,1,0.08155636026638262
4900,31,5,5,0,43,1,0.09538755586711417
4900,31,6,5,0,42,0,0.11156439282703412
4900,31,6,6,1,41,3,0.13048466997313932
4900,31,6,7,1,40,3,0.15261364909139102
4900,31,6,8,1,39,3,0.17849549601332285
4900,31,6,9,1,38,3,0.20876666200388638
4900,31,6,10,1,37,1,0.24417153450746945
4900,31,7,10,1,36,1,0.28558074211399936
4900,31,7,11,1,35,3,0.3340125638760227
4900,31,7,12,1,34,1,0.3906579694456406
4900,31,8,12,1,33,3,0.45690990578437496
4900,31,8,13,1,32,3,0.5343975506249999
4900,31,8,14,1,31,2,0.6250263749999999
4900,31,7,14,1,30,2,0.7310249999999999
4900,31,7,13,1,29,1,0.855
4900,32,1,1,0,60,3,0.005686981114414496
4900,32,1,2,0,59,3,0.006651439899899995
4900,32,1,3,0,58,2,0.007779461871228065
4900,32,1,2,0,57,1,0.00909878581430183
4900,32,2,2,0,56,3,0.010641854753569392
4900,32,2,3,0,55,1,0.012446613746864786
4900,32,3,3,0,54,2,0.014557442978789224
4900,32,3,2,0,53,0,0.01702624909799909
4900,32,2,2,0,52,3,0.01991374163508666
4900,32,1,2,0,51,3,0.023290925888990247
4900,32,1,3,0,50,3,0.027240848992971047
4900,32,1,4,0,49,1,0.03186064209704216
4900,32,2,4,0,48,3,0.03726390888542943
4900,32,2,5,0,47,0,0.043583519164244945
4900,32,2,5,0,46,1,0.05097487621549116
4900,32,3,5,0,45,1,0.059619738263732354
4900,32,4,5,0,44,1,0.06973068802775714
4900,32,5,5,0,43,1,0.08155636026638262
4900,32,6,5,0,42,0,0.09538755586711417
4900,32,6,6,1,41,3,0.11156439282703412
4900,32,6,7,1,40,3,0.13048466997313932
4900,32,6,8,1,39,3,0.15261364909139102
4900,32,6,9,1,38,3,0.17849549601332285
4900,32,6,10,1,37,1,0.20876666200388638
4900,32,7,10,1,36,1,0.24417153450746945
4900,32,7,11,1,35,3,0.28558074211399936
4900,32,7,12,1,34,1,0.3340125638760227
4900,32,8,12,1,33,3,0.3906579694456406
4900,32,8,13,1,32,3,0.45690990578437496
4900,32,8,14,1,31,2,0.5343975506249999
4900,32,7,14,1,30,2,0.6250263749999999
4900,32,7,13,1,29,1,0.7310249999999999
4900,32,8,13,1,28,1,0.855
4900,33,1,1,0,60,3,0.004862368852824394
4900,33,1,2,0,59,3,0.005686981114414496
4900,33,1,3,0,58,2,0.006651439899899995
4900,33,1,2,0,57,1,0.007779461871228065
4900,33,2,2,0,56,3,0.00909878581430183
4900,33,2,3,0,55,1,0.010641854753569392
4900,33,3,3,0,54,2,0.012446613746864786
4900,33,3,2,0,53,0,0.014557442978789224
4900,33,2,2,0,52,3,0.01702624909799909
4900,33,1,2,0,51,3,0.01991374163508666
4900,33,1,3,0,50,3,0.023290925888990247
