reward_mode,lambda,seed,episode,epsilon,steps,return,success,wall_hits,penalty_entries,door_attempts,key_picked,termination_reason
shaped,0.0,8565,0,1.0,500,-913.9499999999992,False,75,6,0,False,energy_depleted
shaped,0.0,8565,1,0.995,285,-492.14999999999975,True,77,4,0,True,goal_reached
shaped,0.0,8565,2,0.990025,500,-1216.9000000000005,False,124,10,0,True,energy_depleted
shaped,0.0,8565,3,0.985074875,500,-1602.8499999999995,False,165,13,0,True,energy_depleted
shaped,0.0,8565,4,0.980149500625,500,-1186.5999999999985,False,108,7,0,False,energy_depleted
shaped,0.0,8565,5,0.975248753121875,500,-1223.1500000000017,False,114,7,0,False,energy_depleted
shaped,0.0,8565,6,0.9703725093562656,500,-1376.0999999999997,False,109,24,1,False,energy_depleted
shaped,0.0,8565,7,0.9655206468094842,500,-1417.875,False,144,20,0,True,energy_depleted
shaped,0.0,8565,8,0.9606930435754368,500,-1175.9500000000003,False,126,0,0,False,energy_depleted
shaped,0.0,8565,9,0.9558895783575596,500,-1113.324999999999,False,109,0,0,False,energy_depleted
shaped,0.0,8565,10,0.9511101304657719,500,-1449.099999999998,False,147,6,0,False,energy_depleted
shaped,0.0,8565,11,0.946354579813443,500,-1116.199999999999,False,123,11,0,True,energy_depleted
shaped,0.0,8565,12,0.9416228069143757,500,-1294.6000000000017,False,140,13,0,True,energy_depleted
shaped,0.0,8565,13,0.9369146928798039,500,-1132.4250000000015,False,115,14,0,True,energy_depleted
shaped,0.0,8565,14,0.9322301194154049,500,-1198.6999999999973,False,116,10,0,True,energy_depleted
shaped,0.0,8565,15,0.9275689688183278,500,-1143.2499999999973,False,127,12,0,True,energy_depleted
shaped,0.0,8565,16,0.9229311239742362,500,-1462.4249999999963,False,122,24,0,False,energy_depleted
shaped,0.0,8565,17,0.918316468354365,500,-1341.8750000000016,False,147,11,0,True,energy_depleted
shaped,0.0,8565,18,0.9137248860125932,500,-1158.1999999999982,False,113,2,0,False,energy_depleted
shaped,0.0,8565,19,0.9091562615825302,500,-1232.8999999999992,False,145,2,0,True,energy_depleted
shaped,0.0,8565,20,0.9046104802746175,500,-1066.7249999999995,False,133,4,0,True,energy_depleted
shaped,0.0,8565,21,0.9000874278732445,500,-1427.400000000001,False,143,22,0,True,energy_depleted
shaped,0.0,8565,22,0.8955869907338783,500,-1368.3000000000027,False,138,15,0,True,energy_depleted
shaped,0.0,8565,23,0.8911090557802088,500,-1573.875000000001,False,140,21,0,False,energy_depleted
shaped,0.0,8565,24,0.8866535105013078,500,-1543.9999999999982,False,154,9,0,False,energy_depleted
shaped,0.0,8565,25,0.8822202429488012,500,-1257.6499999999987,False,111,11,0,False,energy_depleted
shaped,0.0,8565,26,0.8778091417340572,500,-1084.5249999999999,False,126,4,0,True,energy_depleted
shaped,0.0,8565,27,0.873420096025387,500,-1604.524999999999,False,144,27,0,True,energy_depleted
shaped,0.0,8565,28,0.86905299554526,500,-1208.4249999999993,False,120,1,0,False,energy_depleted
shaped,0.0,8565,29,0.8647077305675337,500,-1525.3749999999984,False,152,9,0,False,energy_depleted
shaped,0.0,8565,30,0.8603841919146961,500,-1321.1999999999985,False,121,17,0,True,energy_depleted
shaped,0.0,8565,31,0.8560822709551226,500,-1236.649999999999,False,128,15,0,True,energy_depleted
shaped,0.0,8565,32,0.8518018596003469,500,-1508.9000000000015,False,170,9,0,True,energy_depleted
shaped,0.0,8565,33,0.8475428503023452,500,-1411.625,False,141,13,0,True,energy_depleted
shaped,0.0,8565,34,0.8433051360508335,500,-1972.4749999999967,False,197,20,0,False,energy_depleted
shaped,0.0,8565,35,0.8390886103705792,500,-1509.0249999999983,False,178,13,0,True,energy_depleted
shaped,0.0,8565,36,0.8348931673187264,500,-1202.5249999999965,False,102,12,0,False,energy_depleted
shaped,0.0,8565,37,0.8307187014821328,500,-1340.5249999999974,False,136,3,0,False,energy_depleted
shaped,0.0,8565,38,0.826565107974722,500,-1287.1750000000013,False,147,6,0,True,energy_depleted
shaped,0.0,8565,39,0.8224322824348484,500,-1155.4250000000004,False,131,5,0,True,energy_depleted
shaped,0.0,8565,40,0.8183201210226743,500,-1290.3500000000024,False,140,10,0,True,energy_depleted
shaped,0.0,8565,41,0.8142285204175609,500,-1375.249999999997,False,161,12,0,True,energy_depleted
shaped,0.0,8565,42,0.810157377815473,500,-1256.6750000000004,False,119,20,0,True,energy_depleted
shaped,0.0,8565,43,0.8061065909263957,500,-1324.2749999999999,False,168,4,0,True,energy_depleted
shaped,0.0,8565,44,0.8020760579717637,500,-1106.1249999999995,False,107,8,0,True,energy_depleted
shaped,0.0,8565,45,0.7980656776819048,500,-1472.5249999999978,False,143,10,0,False,energy_depleted
shaped,0.0,8565,46,0.7940753492934953,500,-1255.05,False,150,2,0,True,energy_depleted
shaped,0.0,8565,47,0.7901049725470278,500,-1017.4249999999992,False,112,10,0,True,energy_depleted
shaped,0.0,8565,48,0.7861544476842928,500,-1080.7000000000007,False,121,6,0,True,energy_depleted
shaped,0.0,8565,49,0.7822236754458712,500,-1746.0249999999971,False,157,25,0,False,energy_depleted
shaped,0.0,17944,0,1.0,500,-1195.3750000000023,False,120,3,0,False,energy_depleted
shaped,0.0,17944,1,0.995,500,-1476.049999999999,False,131,18,0,False,energy_depleted
shaped,0.0,17944,2,0.990025,283,-312.0499999999997,True,57,3,0,True,goal_reached
shaped,0.0,17944,3,0.985074875,500,-1083.5750000000003,False,111,2,2,True,energy_depleted
shaped,0.0,17944,4,0.980149500625,500,-1649.625,False,172,6,0,False,energy_depleted
shaped,0.0,17944,5,0.975248753121875,500,-1172.124999999999,False,133,1,0,True,energy_depleted
shaped,0.0,17944,6,0.9703725093562656,500,-1167.824999999999,False,114,0,0,False,energy_depleted
shaped,0.0,17944,7,0.9655206468094842,500,-1012.975,False,85,5,0,False,energy_depleted
shaped,0.0,17944,8,0.9606930435754368,500,-1230.9249999999988,False,119,5,0,False,energy_depleted
shaped,0.0,17944,9,0.9558895783575596,500,-1340.5250000000003,False,152,4,0,True,energy_depleted
shaped,0.0,17944,10,0.9511101304657719,500,-1197.3249999999994,False,120,7,0,True,energy_depleted
shaped,0.0,17944,11,0.946354579813443,500,-1625.9749999999992,False,140,26,0,False,energy_depleted
shaped,0.0,17944,12,0.9416228069143757,500,-1471.0000000000023,False,138,12,0,False,energy_depleted
shaped,0.0,17944,13,0.9369146928798039,500,-942.9249999999998,False,100,12,0,True,energy_depleted
shaped,0.0,17944,14,0.9322301194154049,500,-1198.7750000000003,False,118,1,0,False,energy_depleted
shaped,0.0,17944,15,0.9275689688183278,500,-1272.5999999999963,False,126,3,0,False,energy_depleted
shaped,0.0,17944,16,0.9229311239742362,500,-999.0500000000004,False,102,9,0,True,energy_depleted
shaped,0.0,17944,17,0.918316468354365,500,-1484.149999999999,False,152,5,0,False,energy_depleted
shaped,0.0,17944,18,0.9137248860125932,500,-1243.5749999999982,False,112,9,0,False,energy_depleted
shaped,0.0,17944,19,0.9091562615825302,500,-1380.149999999998,False,133,8,0,False,energy_depleted
shaped,0.0,17944,20,0.9046104802746175,381,-735.4499999999998,True,93,11,0,True,goal_reached
shaped,0.0,17944,21,0.9000874278732445,500,-1677.3499999999983,False,163,15,0,False,energy_depleted
shaped,0.0,17944,22,0.8955869907338783,500,-1349.0000000000039,False,144,17,0,True,energy_depleted
shaped,0.0,17944,23,0.8911090557802088,500,-1148.6499999999983,False,123,9,0,True,energy_depleted
shaped,0.0,17944,24,0.8866535105013078,500,-1145.0999999999995,False,110,4,4,False,energy_depleted
shaped,0.0,17944,25,0.8822202429488012,500,-1199.8499999999983,False,133,15,0,True,energy_depleted
shaped,0.0,17944,26,0.8778091417340572,500,-1540.7749999999992,False,168,11,0,True,energy_depleted
shaped,0.0,17944,27,0.873420096025387,500,-880.225000000001,False,88,13,0,True,energy_depleted
shaped,0.0,17944,28,0.86905299554526,500,-1208.175,False,120,0,0,False,energy_depleted
shaped,0.0,17944,29,0.8647077305675337,500,-1207.4999999999998,False,114,5,0,False,energy_depleted
shaped,0.0,17944,30,0.8603841919146961,500,-1397.2499999999989,False,139,7,0,False,energy_depleted
shaped,0.0,17944,31,0.8560822709551226,500,-1468.2749999999976,False,138,13,0,False,energy_depleted
shaped,0.0,17944,32,0.8518018596003469,500,-1379.5999999999995,False,133,8,0,False,energy_depleted
shaped,0.0,17944,33,0.8475428503023452,500,-1997.0999999999976,False,212,11,0,False,energy_depleted
shaped,0.0,17944,34,0.8433051360508335,500,-1120.7249999999992,False,106,3,0,False,energy_depleted
shaped,0.0,17944,35,0.8390886103705792,500,-2021.5749999999975,False,202,19,0,False,energy_depleted
shaped,0.0,17944,36,0.8348931673187264,500,-1338.3,False,125,21,0,True,energy_depleted
shaped,0.0,17944,37,0.8307187014821328,500,-1594.8999999999985,False,135,26,0,False,energy_depleted
shaped,0.0,17944,38,0.826565107974722,500,-1421.0250000000012,False,162,4,0,True,energy_depleted
shaped,0.0,17944,39,0.8224322824348484,500,-1525.0499999999977,False,129,24,0,False,energy_depleted
shaped,0.0,17944,40,0.8183201210226743,500,-1426.9750000000015,False,141,18,0,True,energy_depleted
shaped,0.0,17944,41,0.8142285204175609,500,-1391.775000000001,False,148,13,0,True,energy_depleted
shaped,0.0,17944,42,0.810157377815473,500,-1219.850000000002,False,125,14,0,True,energy_depleted
shaped,0.0,17944,43,0.8061065909263957,500,-1376.925,False,153,9,0,True,energy_depleted
shaped,0.0,17944,44,0.8020760579717637,500,-1212.0749999999973,False,109,9,0,False,energy_depleted
shaped,0.0,17944,45,0.7980656776819048,500,-1484.8499999999992,False,146,7,0,False,energy_depleted
shaped,0.0,17944,46,0.7940753492934953,500,-907.1249999999986,False,122,5,0,True,energy_depleted
shaped,0.0,17944,47,0.7901049725470278,500,-1636.8499999999985,False,151,18,0,False,energy_depleted
shaped,0.0,17944,48,0.7861544476842928,500,-1684.2999999999959,False,153,22,0,False,energy_depleted
shaped,0.0,17944,49,0.7822236754458712,500,-1420.3499999999967,False,170,19,0,True,energy_depleted
shaped,0.0,81150,0,1.0,500,-1064.9750000000015,False,104,15,0,True,energy_depleted
shaped,0.0,81150,1,0.995,500,-1045.8500000000008,False,112,4,0,True,energy_depleted
shaped,0.0,81150,2,0.990025,500,-1051.9500000000007,False,99,21,0,True,energy_depleted
shaped,0.0,81150,3,0.985074875,500,-973.774999999999,False,97,6,1,True,energy_depleted
shaped,0.0,81150,4,0.980149500625,500,-1425.5499999999986,False,131,13,0,False,energy_depleted
shaped,0.0,81150,5,0.975248753121875,500,-853.750000000001,False,89,4,0,True,energy_depleted
shaped,0.0,81150,6,0.9703725093562656,500,-1287.6500000000012,False,133,13,0,True,energy_depleted
shaped,0.0,81150,7,0.9655206468094842,500,-1082.6999999999978,False,130,14,0,True,energy_depleted
shaped,0.0,81150,8,0.9606930435754368,500,-967.3500000000003,False,108,5,0,True,energy_depleted
shaped,0.0,81150,9,0.9558895783575596,500,-1298.5250000000008,False,142,9,0,True,energy_depleted
shaped,0.0,81150,10,0.9511101304657719,500,-1533.2999999999975,False,138,18,0,False,energy_depleted
shaped,0.0,81150,11,0.946354579813443,500,-1004.6749999999986,False,108,8,0,True,energy_depleted
shaped,0.0,81150,12,0.9416228069143757,500,-1175.050000000001,False,124,6,0,True,energy_depleted
shaped,0.0,81150,13,0.9369146928798039,500,-1392.1749999999984,False,139,5,0,False,energy_depleted
shaped,0.0,81150,14,0.9322301194154049,500,-1138.4500000000023,False,116,12,0,True,energy_depleted
shaped,0.0,81150,15,0.9275689688183278,500,-1064.9000000000008,False,98,3,0,False,energy_depleted
shaped,0.0,81150,16,0.9229311239742362,500,-1700.2999999999981,False,176,9,0,False,energy_depleted
shaped,0.0,81150,17,0.918316468354365,500,-1798.5499999999956,False,182,13,0,False,energy_depleted
shaped,0.0,81150,18,0.9137248860125932,500,-1555.100000000002,False,169,14,0,True,energy_depleted
