target,scenario,beta,seed,source_model,first_success_episode,episodes_to_90pct_success,jumpstart_mean_return,jumpstart_success_rate,final_train_success_rate,final_train_mean_return,eval_success_rate,eval_mean_return,eval_mean_steps,visited_states
similar,scratch,,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,460,905,-110.77249999999995,0.0,1.0,247.74850000000006,0.37,31.35,56.97,8380
similar,scratch,,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,903,1759,-97.10899999999998,0.0,0.97,233.442,0.45,35.82,58.74,7509
similar,scratch,,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,465,981,-111.15024999999996,0.0,0.99,240.695,0.2,-19.48,59.14,8568
similar,full,,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,0,1285,-14.678499999999975,0.04,0.96,230.4210000000001,0.37,31.29,59.15,4064
similar,full,,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,51,1522,12.855750000000025,0.02,0.9,216.46050000000005,0.42,36.21,58.57,3515
similar,full,,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,25,1091,-17.544249999999977,0.06,0.92,220.08275,0.4,33.57,58.73,4443
similar,scaled_0.25,0.25,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,0,1379,-10.092499999999974,0.07,0.95,223.6127500000001,0.43,51.39,58.69,4212
similar,scaled_0.25,0.25,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,51,1550,13.33075000000003,0.03,0.94,224.64175000000003,0.46,42.08,58.18,3637
similar,scaled_0.25,0.25,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,21,973,-16.43074999999998,0.04,0.99,233.88325000000003,0.47,53.81,58.47,4554
similar,scaled_0.5,0.5,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,0,1416,-9.651749999999979,0.07,0.91,216.37300000000008,0.37,33.5,58.8,4298
similar,scaled_0.5,0.5,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,51,1262,12.095750000000026,0.02,0.97,236.29225000000002,0.48,44.91,57.79,3700
similar,scaled_0.5,0.5,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,21,1138,-17.557749999999977,0.05,0.97,228.52725,0.45,43.92,58.2,4449
similar,scaled_0.75,0.75,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,0,1378,-12.98224999999998,0.06,0.99,238.2995,0.37,31.77,58.97,4305
similar,scaled_0.75,0.75,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,51,1115,12.951000000000027,0.02,0.96,227.89325,0.46,39.65,57.81,3500
similar,scaled_0.75,0.75,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,25,989,-13.901749999999975,0.07,0.96,227.039,0.46,46.21,58.45,4659
similar,selective,,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,390,2550,-84.56199999999997,0.0,0.74,183.32225000000005,0.19,-6.05,59.39,5938
similar,selective,,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,436,1835,-72.95749999999998,0.0,0.92,226.68525000000002,0.26,10.04,59.06,4859
similar,selective,,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,440,,-98.2815,0.0,0.73,187.37850000000003,0.07,-37.32,59.98,5752
different,scratch,,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,406,1019,-145.6535,0.0,0.99,240.91875,0.75,141.99,34.45,5195
different,scratch,,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,531,1054,-128.66899999999995,0.0,0.98,234.16150000000002,0.88,162.13,34.13,4592
different,scratch,,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,406,1006,-137.16549999999998,0.0,1.0,244.72299999999996,0.24,-33.08,55.84,5029
different,full,,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,876,,-120.22750000000002,0.0,0.56,116.07525000000001,0.01,-60.8,60.0,3811
different,full,,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,2631,,-115.08500000000002,0.0,0.88,200.5125,0.09,-48.99,59.39,4644
different,full,,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,2856,,-116.4885,0.0,0.25,42.15425000000001,0.04,-72.43,59.57,4570
different,scaled_0.25,0.25,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,1079,2349,-112.60975000000002,0.0,0.96,232.30499999999995,0.55,82.18,41.22,5815
different,scaled_0.25,0.25,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,1022,2484,-101.416,0.0,1.0,231.22824999999997,0.6,92.13,43.01,5230
different,scaled_0.25,0.25,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,1232,2240,-108.94250000000002,0.0,0.96,231.12574999999993,0.24,-26.92,54.0,5142
different,scaled_0.5,0.5,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,1659,3492,-119.22325000000001,0.0,0.97,231.9675,0.44,51.52,49.22,5880
different,scaled_0.5,0.5,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,1507,3329,-111.87575000000002,0.0,0.98,226.10600000000005,0.27,-5.76,55.76,5042
different,scaled_0.5,0.5,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,1632,3585,-116.30025000000003,0.0,1.0,224.51425000000003,0.09,-50.0,58.8,5391
different,scaled_0.75,0.75,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,900,3453,-121.07574999999999,0.0,0.85,173.09524999999996,0.01,-70.36,60.0,4366
different,scaled_0.75,0.75,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,2125,4122,-114.94550000000002,0.0,0.92,208.59499999999997,0.18,-35.75,57.17,5033
different,scaled_0.75,0.75,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,2207,4449,-116.93475000000001,0.0,0.97,218.96650000000005,0.06,-60.76,59.58,4828
different,selective,,81150,results/models/q_learning/q_learning_shaped_linear_seed8565.json,1490,2766,-120.65,0.0,1.0,240.046,0.6,84.97,46.71,5292
different,selective,,8565,results/models/q_learning/q_learning_shaped_linear_seed8565.json,1258,2920,-122.87475,0.0,1.0,233.99925,0.23,-15.46,56.82,4604
different,selective,,17944,results/models/q_learning/q_learning_shaped_linear_seed8565.json,1595,3161,-124.59524999999998,0.0,0.99,237.67924999999997,0.43,31.52,52.52,5335
